,minutes,SSH
2022-10-26 22:00:00-02:00,0.0,-39.35317693881956
2022-10-26 22:01:00-02:00,1.0,-38.949913116755944
2022-10-26 22:02:00-02:00,2.0,-38.54419100202968
2022-10-26 22:03:00-02:00,3.0,-38.13604791928794
2022-10-26 22:04:00-02:00,4.0,-37.72552136142252
2022-10-26 22:05:00-02:00,5.0,-37.31264898903474
2022-10-26 22:06:00-02:00,6.0,-36.897468623805814
2022-10-26 22:07:00-02:00,7.0,-36.48001825556892
2022-10-26 22:08:00-02:00,8.0,-36.0603357503888
2022-10-26 22:09:00-02:00,9.0,-35.63845997057586
2022-10-26 22:10:00-02:00,10.0,-35.214429092294154
2022-10-26 22:11:00-02:00,11.0,-34.78828172460801
2022-10-26 22:12:00-02:00,12.0,-34.36005661825518
2022-10-26 22:13:00-02:00,13.0,-33.929792672033145
2022-10-26 22:14:00-02:00,14.0,-33.49752892659982
2022-10-26 22:15:00-02:00,15.0,-33.06330455921513
2022-10-26 22:16:00-02:00,16.0,-32.62715858918726
2022-10-26 22:17:00-02:00,17.0,-32.18913104919649
2022-10-26 22:18:00-02:00,18.0,-31.74926122342358
2022-10-26 22:19:00-02:00,19.0,-31.30758881305084
2022-10-26 22:20:00-02:00,20.0,-30.864153641728343
2022-10-26 22:21:00-02:00,21.0,-30.418995659407678
2022-10-26 22:22:00-02:00,22.0,-29.972154926657442
2022-10-26 22:23:00-02:00,23.0,-29.523671620292575
2022-10-26 22:24:00-02:00,24.0,-29.073586031151848
2022-10-26 22:25:00-02:00,25.0,-28.62193855623232
2022-10-26 22:26:00-02:00,26.0,-28.168769694996058
2022-10-26 22:27:00-02:00,27.0,-27.714120052394996
2022-10-26 22:28:00-02:00,28.0,-27.25803033453193
2022-10-26 22:29:00-02:00,29.0,-26.800541337637267
2022-10-26 22:30:00-02:00,30.0,-26.341693643652775
2022-10-26 22:31:00-02:00,31.0,-25.881528852373204
2022-10-26 22:32:00-02:00,32.0,-25.420087722230406
2022-10-26 22:33:00-02:00,33.0,-24.957411403393085
2022-10-26 22:34:00-02:00,34.0,-24.493541127967923
2022-10-26 22:35:00-02:00,35.0,-24.02851820519217
2022-10-26 22:36:00-02:00,36.0,-23.56238401703813
2022-10-26 22:37:00-02:00,37.0,-23.095180013268426
2022-10-26 22:38:00-02:00,38.0,-22.626947405692153
2022-10-26 22:39:00-02:00,39.0,-22.157728402739828
2022-10-26 22:40:00-02:00,40.0,-21.687564337334166
2022-10-26 22:41:00-02:00,41.0,-21.216496917193517
2022-10-26 22:42:00-02:00,42.0,-20.744567901484043
2022-10-26 22:43:00-02:00,43.0,-20.271819098330404
2022-10-26 22:44:00-02:00,44.0,-19.798292370905457
2022-10-26 22:45:00-02:00,45.0,-19.32402962309525
2022-10-26 22:46:00-02:00,46.0,-18.849072804379304
2022-10-26 22:47:00-02:00,47.0,-18.373463898861985
2022-10-26 22:48:00-02:00,48.0,-17.897244932309263
2022-10-26 22:49:00-02:00,49.0,-17.420457958530804
2022-10-26 22:50:00-02:00,50.0,-16.943145062414192
2022-10-26 22:51:00-02:00,51.0,-16.465348355841343
2022-10-26 22:52:00-02:00,52.0,-15.987109974119996
